taxa	Kingdom	Phylum	Class	Order	Family	Genus	Species
X549322	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA	NA
X522457	Archaea	Crenarchaeota	Thermoprotei	NA	NA	NA	NA
X951	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobusacidocaldarius
X244423	Archaea	Crenarchaeota	Sd-NA	NA	NA	NA	NA
X586076	Archaea	Crenarchaeota	Sd-NA	NA	NA	NA	NA
X246140	Archaea	Crenarchaeota	Sd-NA	NA	NA	NA	NA
X143239	Archaea	Crenarchaeota	Sd-NA	NRP-J	NA	NA	NA
X244960	Archaea	Crenarchaeota	Sd-NA	NRP-J	NA	NA	NA
X255340	Archaea	Crenarchaeota	Sd-NA	NRP-J	NA	NA	NA
X144887	Archaea	Crenarchaeota	Sd-NA	NRP-J	NA	NA	NA
X141782	Archaea	Crenarchaeota	Sd-NA	NRP-J	NA	NA	NA
X215972	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	SAGMA-X	NA	NA
X31759	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	SAGMA-X	NA	NA
X30678	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	SAGMA-X	NA	NA
X138353	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X406058	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X30405	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X1126	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X46043	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X512519	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X554594	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X210741	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X550229	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X105798	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X183473	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X541313	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X540305	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X511243	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X568829	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X185612	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X321018	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	NA	NA
X549041	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	NA
X153762	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	NA
X155789	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	NA
X155495	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	Cenarchaeumsymbiosum
X1029	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	Cenarchaeumsymbiosum
