OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b	A4b sp.
OTU2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fastidiosipila	Fastidiosipila sanguinis
OTU3	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema socranskii subsp. buccale
OTU4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri DSM 20016
OTU5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella buccalis
OTU6	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Fretibacterium	Fretibacterium sp.
OTU7	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae subsp. ozaenae
OTU8	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriales	Corynebacteriales	Corynebacteriales sp.
OTU9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Anaerophaga	Anaerophaga sp.
OTU10	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus	Peptococcus simiae
OTU11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus anginosus
OTU12	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Negativicoccus	Negativicoccus sp.
OTU13	Bacteria	Tenericutes	Mollicutes	Mollicutes	Mollicutes	Mollicutes	Mollicutes sp.
OTU14	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium sp.
OTU15	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Fretibacterium	Fretibacterium fastidiosum
OTU16	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella saccharolytica JCM 17484
OTU17	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia sp.
OTU18	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	Massilia oculi
OTU19	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fornicalis
OTU20	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	Butyricicoccus faecihominis
OTU21	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobiaceae	Lentimicrobiaceae sp.
OTU22	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae	Neisseria	Neisseria subflava
